(int,-1)
([,-1)
(1,598)
(],-1)
(0,97)
(;,-1)
(int,-1)
(0,110)
(;,-1)
(read,-1)
((,-1)
(0,110)
(),-1)
(;,-1)
(int,-1)
(0,105)
(;,-1)
(0,105)
(:=,-1)
(1,48)
(;,-1)
(while,-1)
((,-1)
(0,105)
(<=,-1)
(0,110)
(),-1)
({,-1)
(read,-1)
((,-1)
(0,97)
([,-1)
(0,105)
(],-1)
(),-1)
(;,-1)
(},-1)
(0,115)
(:=,-1)
(1,48)
(;,-1)
(0,105)
(:=,-1)
(1,48)
(;,-1)
(while,-1)
((,-1)
(0,105)
(<=,-1)
(0,110)
(),-1)
({,-1)
(0,115)
(:=,-1)
(0,115)
(+,-1)
(0,97)
([,-1)
(0,105)
(],-1)
(;,-1)
(},-1)
(write,-1)
((,-1)
(0,115)
(),-1)
(;,-1)
